titulo,autor,isbn,paginas,ano_publicacao
O Signo Dos Quatro,Sir Arthur Conan Doyle,9788572327770,152,2012
Um Estudo Em Vermelho,Sir Arthur Conan Doyle,9788572328661,150,2012
O Cão dos Baskerville,Sir Arthur Conan Doyle,9788572324458,166,2012
O Vale do Terror,Sir Arthur Conan Doyle,9788572327749,192,2012
Esaú e Jacó,Machado de Assis,9788572324939,242,2012
Contos Escolhidos,Machado de Assis,9788572324663,375,2012
Triste Fim de Policarpo Quaresma,Lima Barreto,9788572323543,232,2011
As Aventuras de Sherlock Holmes,Sir Arthur Conan Doyle,9788572327923,284,2011
A Volta de Sherlock Holmes,Sir Arthur Conan Doyle,9788572328111,360,2011
Recordações do Escrivão Isaías Caminha,Lima Barreto,9788572328043,205,2010
Os Arquivos de Sherlock Holmes,Sir Arthur Conan Doyle,9788572328265,281,2010
Quincas Borba,Machado de Assis,9788572324472,270,2009
Os Bruzundangas,Lima Barreto,9788572329439,172,2009
Dom Casmurro,Machado de Assis,9788572322645,218,2007
